"comment","pol","Topic"
"وعلاه خايفين تقعدو فيها وحدكم 😁","1","politique"
"😎 ربي يعاون الرجال","1","sociale"
"جيبوها من لخر     قبايل   و كلكم تعرفو شكون هوما     ربي يعاونهم و يخدمو خدمة نقية و الحرقة معاهم مضمونة","1","sociale"
"علاه راهم يحرڤو 🤔ستناو دزاير الجديدة راهي جاية","1","politique"
"الله يعاونكم انا شاء الله وهنيكم من المسؤلين السراقين","1","politique"
"جزاهم الله خيرا بصح ياريت كون ينقصولنا فالسومة يديرو فينا بليزير","1","politique"
"السريع","1","politique"
"عرفونا بيهم وربي يجازيكم كل خير","1","politique"
"الله ايبارك","1","religieux"
"جزاهم الله خير الجزاء على هذا  لعمل ربي يقدرهم على ترحيل 40مليون جزائري","1","politique"
"يعطيهم الصحة ربي يعونهم","1","politique"
"بارك الله فيهم ووفقهم لما فيه خيرا للبلاد والعباد","1","politique"
"بارك الله فيهم","1","politique"
"العسكر الڨرايدية","1","politique"
"شيء جيد هكا مضمونة ...هذه البلاد مبقاتش فيها معيشة لا الغني ولا فقير ربي يوفق كل حراق","1","politique"
"تحير واش بيهم هاربين، بقالنا انتخابات وحدة ولا زوج و نولو فالجزائر الجديدة","1","politique"
"هههه نروح منراطيش","1","politique"
"الله يجازيكم بخير مزال ناس فيها الخير","1","sociale"
"خدامين طرونسبور وأجرهم على الله باش يهربو ناس من فيقورتكوم","1","politique"
"في ميزان حسناتهم","1","sociale"
"ثلاث سوايع برك ابابا. ،،🥳🥳","1","sociale"
"راهم ادورو دراهم كبار فالحرقة و الحرقة عندها ناسها","1","politique"
"كاش بلاصة هدا اصحاب خير لي يعرفهم يخبرني 🤣🤣🤣🤣","1","sociale"
"هاذو صح راهم يخمو على المساكين  وفقهم الله ،لوكان غي يزيدو يساعدوهم فالسومة ولا يخدمو ا بالتقسيط","1","sociale"
"صابو شعب  متشرد في ذهنيا كيفاه تعطيهم 80مليون باه  تحرق","-1","sociale"
"واقيلا هاذ البلاد يبقى فيها غير تبون وشنڨريحة ومقدم النشرة تع الثمانية وبعض الأنامل الزرقاء","1","politique"
"الجزائر الجديدة رائعة إلى درجة ان الشباب كره  يعيش فيها","1","sociale"
"و الحكومة تاعنا علاه راهي مصعبة على الشعب الخروج الى اوروبا .الشعب راهو بدراهمو راهو يخسر 30 مليون باش يروح حراق تديها الدولة ويروح قانون كي ماتعجبوش يقدر يرجع .وكي يلحق كاش إنتخابات ساهل كي كون قانون يقدر ينتخب.","1","politique"
"كلاي يدبر عليك دومعاكم حسني 😅","1","sociale"
"حطونا المعلومات تاعهم 🤣🤣","1","blague"
"جزائري في دولة اوروبية ممعرفاش خلي شعب يخرج #ينافيڨي","1","sociale"
"خلي الناس تهجر..ارض الله واسعة .فاسعوا في مناكبها وكلوا من رزق الله 😁","1","sociale"
"تكلمو على الأسباب التي دفعت الشباب الى الهجرة يا وجوه البخس 😏","-1","politique"
"أين هي شرطة الشرطة................😉","1","politique"
"الناس لي راهي تڤول يحرڤو و يتهناو من بلاد الشر (الجزائر) نهار تروحو للغربة و تعيشو فيها تعرفو قيمة الجزائر 👌","1","sociale"
"حاجة مليحة","1","sociale"
"جزاهم الله خير الجزاء ان شاء الله ينقصولنا شوية السومة برك","1","blague"
"حاربوها بالهاتشتاغ انكم بارعون...","1","sociale"
"😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂2021 مزلنا نقودو علي البطاطة","1","sociale"
"معندنا منديرو بها درك قلبناها دلاع","1","blague"
"مع الانتخابات البطاطا تطيح و مادابينا يديرونا وزير بطاطا و   شكرا 😁😁😁","1","blague"
"هههههههههه جامي شفت واحد من ليروب يشكي علا البطاطا ودلاع غير في الجزائر اودي  رانا في 2021 مزالكم تحكو علا بطاطا هههه","1","blague"
"استراتيجية الشيبس","1","blague"
"راه  خلاص  رمضان  واللحوم  المستوردة  ما  لحقت  يا  جماعة  تعايلي  تمت  عملية  قرصنة  عليها😁😁","1","sociale"
"شوفوا مع النازا ولا الروس بلاك تلقاو حل ولربما اليابان عندهم استراتيجية","1","sociale"
"واش هي ستراجيديا الجديدة؟؟ طز","1","sociale"
"ههههههههههههههههههههههههههههههههههههههههههههههععععععععععخخخخخخخخ شرقت اصبر نشرب شوي ما","1","blague"
"خطة 2/2/4","1","politique"
"راحت البطاطا غير نودعوها 😂😂","1","blague"
"هههههههههههه","1","blague"
"عن أي استراتيجية تتحدثون هههه البطاطا وكأنها حرب النجوم. عيب عليكم","-1","sociale"
"ما يديروا والو، ظهر بأن اللوبيات أقوى من وزارة رزيڨ 😉😉😉😉","1","politique"
"انا حصلت على 1500 جوهرة فري فاير مجانا 📱🔥 خلال ثواني بدون تحميل أي برنامج 😍, الأن يمكنك الحصول على 1500 جوهرة من شركة   💎💎 بكل سهولة اكتب فى جوجل 🔎  70 🔍","1","jeux vidéo"
"بكل لغات العالم 💞 #من_الجزائر🇩🇿🇵🇸🇵🇸🇩🇿💪إن باع كل العالم قضيتكم،نحن نشتري،وإن ادار العالم ظهره،فنحن ندير له ظهورنا مولين وجوهنا نحوكم ،السلام عليكِ فلسطين ،سلاما أقل ما يمكن أن يقدم ،ولكنه كل ما بالوسع""🇩🇿#فلسطين_قضيتي#فلسطين_قضيتي_الاولىان لم تكن فلسطين قضيتك الأولى،فلا قضية لك ولا مبدأ🇵🇸🇩🇿☑️#كلنا_لفلسطين🇩🇿🤍🇵🇸🇵🇸 #انقذوا_حي_الشيخ_جراح🇰🇷#셰이크_자라_지역_구하기🇯🇵#シェイクの近所を救う。🇬🇧 # _ _ 🇺🇸 #  🇷🇺 #Спасти_район_ШейхДжарра 🇹🇷 #Ş _ _  🇩🇪 # _ _  🇫🇷 # _ _ _ _ 🇪🇦 # _ _ _ _ 🇮🇹 # _ _ _ _ ‎‏#Ş ı ‎‏# ‎‏# ‎‏# ‎#الشيخ_جراح‎#حي_الشيخ_جراح‎#لا_لتهويد_القدس‎🇩🇿🇩🇿🇩🇿🇩🇿 جزائر 💪💪💪 ا","1","politique"
"متديرش بيه طريق😏 عدنا بلماضي غير شوف جيهة اخرى 😂😂","1","sport"
"ها خلاهم","1","sociale"
"يعيشك وخلاص ههههه","1","blague"
"هاو علاه يسموه محرز ها باه يحرز","1","blague"
"هههه 😂 ودي عايزة كلام","1","blague"
"خبر كيما هذا رايح يحرر القدس ويطرد احفاد القردة من ارض الكنانة ياوجوه القرداشصحافة الضراير","1","politique"
"صحيت قولها وعاودها ليفور فور","1","sport"
"صلاح ول محرز ..المهم دم عربي ❤❤💔","1","sport"
"وبن شيخ واش راه يقول","1","sport"
"باينة محرز افضل واش جاب لجاب","1","sport"
"إلا ماجر لا يريد الإعتراف","1","sport"
"كلنا فلسطين تحيا القدس","1","politique"
"لي حب كون مشهور كما رابح ماجر يتكلم مثلو انت ماجر كيف كيف","1","sport"
"حاج باينا","1","sociale"
"احدرو،رولاتد،مخبرات،فرنسية","1","politique"
"بالنهاية هما اخوة في الدين والعروبة","1","sociale"
"صار هاك آه","1","blague"
"شوفو شكون خير تبون ولا بوتفليقة","1","politique"
"خويا رونار راك روطار شوف بلاصة وحدوخرا دخل فيها دولار خخخخ","1","blague"
"يعني هدرة معقولة وشابة","1","sociale"
"اييييييييه تعرف أنت خير من ماجر","1","blague"
"علاش دايما تقارنوه بصلاح..  محرز لايقارن هكذا..  انا اعتقد في الوقت الحالي محرز افضل من كريستيانو حاليا","1","sport"
"عيد سعيد ومبارك لكل المسلمين","1","religieux"
"#    🇩🇿🇵🇸","1","politique"
"صح عيدكم","1","religieux"
"مسيرة من حاسي بحبح تضمن مع اخوننا فلسطين","1","politique"
"فضلا وليس امر جام للصفحة وبارك الله فيكم","1","reseau social"
"""                        اسمعوا جيدا بسرعة قسما بالله اسمعوا جيدا الى الدولة الجزائرية الجزائرية المستقلة منذ 1962 الى يومنا هذا من 2021 و الشعب الجزائري الى السيد الرئيس عبد المجيد تبون و الدولة الجزائرية و الشعب الجزائريالى رئيس اركان الجيش الوطني الشعبي السعيد شنقريحة وزارة الدفاع الوطني و الجيش الوطني الشعبي  الكلام و الهدرة     مباشرة بوضوح وبيان و بصراحة توقفوا عن المغالطات و الكذب و اصلحوا الاخطاء بسرعة و تشاوروا و تفاهموا مفهوم الكلام و الهدرة بوضوح و حق و بيان مباشرة مفهوم اهدرو و تكلموا مباشرة بكل وضوح و بيانالى رئيس الجمهورية المستقلة عبد المجيد تبون دولة الجزائر و الشعب الجزائري الجزائر دولة مستقلة بها عدد من الوزارات ورئاسة الجمهورية احزاب سياسية جزائرية44 مليون جزائري مواطنين بها عدد من السفارات الدول العربية و الاجنبية من كل دول قارات العالم مساحة الجزائر كبيرة وواسعة 50 ولاية جزائرية و عدد من الدوائر و البلديات القوانين و الحقوق و المشاورات وبيان و وضوح و الاصلاحات بين افراد الشعب الجزائري دائما مفهوم الله يسهل على كل مواطن من الشعب في معيشته و شؤونه بكل حقوق و قوانين و مشاورات و تفاهم و اصلاحات مفهوم","1","politique"
"مليح","1","sociale"
"الله يبارك","1","religieux"
"إن شاء الله","1","religieux"
"الجزائر تعيد مثل السعودية جاوبوني😙","1","religieux"
"""الهم انصر الجزائريين مع نظام ارهابين","1","politique"
"وكذالك اعلنت تونس الجزائر عمان والاردن ان غدن الاربعاء انشاء الله والله اعلم😁😁😁","1","religieux"
"الجزائر للسعودية وينتا العيد السعودية ارواح للبريفي","1","religieux"
"نشاله يارب","1","religieux"
" هدا تاثير الصاروخ على الارض","1","sociale"
"""بالاك الصاروخ طاح","1","sociale"
"الله يستر و يحفظ","1","sociale"
"ربي خير","1","sociale"
"والفايدة وينها","1","sociale"
"أه كمل الستة شهور انتاعه...باش يبقى طول حياته يدي 70 مليون....في بلادي معمرين😜😜😜😜","1","politique"
"قنبلة هذا الموسم 💣💯مسلسل بابور اللوح في رايي افضل عمل تلفزيوني هذا الموسم و كي العادة مغزى المسلسل يتحدث عن معاناة الشباب الجزائري و هجرة الادمغة و التهميش و الظلم الذي يتعرض له اغلب الشباب بغض النظر عن ظاهرة الهجرة و الاسباب التي جعلت الحرقة حلم كل مواطن جزائري مسلسل اكثر من رائع و جد شيق تم تصويره في الغرب الجزائري بالضبط في مدينة ارزيو و اللهجة وهرانية و السيناريو افضل من سيناريو أولاد الحلال بكثير و اغلبية الممثلين كلهم من الغرب الجزائري ❤الاعلان التشويقي جام للصفحة وبارطاجي خلي خاوتك يتفرجو باطل✌","1","sociale"
"احوجي هاا هدرونا مع ذا تبون يشوفنا الباك كي صرالو","1","Éducation"
"ممكن رقم الهاتف نتاع وزير دفاع","1","blague"
"سلام عليكم كاين خدمة شابة بزاف تنجم تبدأ فيها برأس مال صغير ب 2000     برك وتبدأ تطور في روحك وماتطلب ني مستوى ني حانوت ني والو المهم هو لازم يكون عندك تليفون وانترنت وتبدأ على بركة الله 👌كل ثروة بدأت بفكرة لم يأمن بها إلا صاحبها . فكر تنجح 👌 أي إستفسار مرحبا بيكم 🙂👏","1","Commerce"
"لعقوبو لوزير التربية والتعليم العالي","1","Éducation"
"وما يجيش واحد ينهي المهام نتاعو هو تاني","1","politique"
"قالو نتا اللي ودرت الصاروخ تاع لاشين على هاديك عزلو!؟😂😂","1","blague"
"تبون اتمنى يجي يوم تولي أنت لطريق وتمنح منحة البطالين ...و الأرامل والمطلقات ...والبنات اللواتي يعيشن مضطاهدات من اباءهن واخواهم الى متى سيبقى هذا تبون يغير في الوزارء .....غير في الحالة المعيشية للزوالي ....لا حول ولا قوة الا بالله العلي العظيم...حكام العرب فعلا حكام آخر زمن ...اللهم اجعل حاجتنا في يدك ولا تجعل حاجتنا في يد احد من خلقك ...","1","politique"
"""رسالة لكامل الجزايريين يوم الاحد 16 ماي 2021  كاين مسيرة في كامل الجزائر تضامن مع اخواننا الفلسطنيين تحت شعار                              #انقذوا_حي_الشيخ_جراح ❤💪 وخبرو كل واحد تعرفوه صغير كبير ..  هادا واجب علينا 💪🇩🇿🇩🇿🇩🇿🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸","1","politique"
"رسالة من شباب الجزائر يافخامة رأيس الجمهرية عبد المجيد تبون وياقائد الاركان والله نحن جادون ونعلم جيدا مانقول نطالب بترحيلنا إلى فلسطين نريدكم ان تفتح الطريق لنا إلى الجنة (الجهاد) يافخامة الرأيس لسنا نتحدث ولا نتباه ولا نريدو الاشاعة بل نحن جادون وواثقون من كلامنا وانتم مسامحون اعينونا وتركونا وادعمونا يكفينا الغناء ونشر الفديوهات عن فلسطين بل نريد التحرك إلى فلسطين وتلقين الكايان الصهيوني درسآ ومنهم الجزارين وليعلم العرب ان القدس قضيتنا وفلسطنيون اخوتنا وفلسطين جزء من دولتنا انضر جيدا في كلامنا وخطوتنا يافخامة رايس وانت مسامح دونيا واخرا ⁦⁩⁦✍️⁩حميدي. س","1","politique"
" هادا مخصنا مزال مشبعتوش من صرقة  بزايد برك ناس راها راح تموت بشر يا صراقا  رجالة ماتت باه يعيشو ماليهم زواولا ماش باش تجي نتا ولا غيرك يصرق حيوانات اليفة 😎","1","politique"
"الله يشافيهم","1","sociale"
"ربي معاكم ان شاء الله","1","sociale"
"ربي يكون معاهم","1","sociale"
"جماعة التحراك تاع كل جمعة شا عماكم على دا المخاليق ربي يكون معاهم","1","sociale"
"الله يشفيهم ويفرج عليهم أن شاء الله","1","sociale"
"رابي يفراجها عليكوم","1","sociale"
"ربي يجزيكم خير صبر ثم صبر","1","sociale"
"اللهم كن في عون هذه العائلة وكل من هو في أمس الحاجة إلى الاعانات نسأل الله لوالدي هذه العائلة الصبر والمقدرة على هذه المسؤولية الملقات على عاتقهم وأن يجبر عليهم ويمدهم بالصحة والعافية أمين يارب العالمين.","1","sociale"
"سبحان الله وبحمده الله يشافيهم","1","sociale"
"شكرا لكل من ساهم في النشر","1","sociale"
"ربي يشفيهم و يفرج عليهم و يفتحلهم أبواب الخير إن شاء الله","1","sociale"
"ان شاء الله بربي هههههههههههه","1","sociale"
"وهو كذلك","1","sociale"
"و انت شكون تاني يهديك ربي","1","sociale"
"انت داركم مهمش دارين ثقة فيك حابة الشعب يثيق فيك","1","politique"
"منذ سنة 1962 ونحن في إنتظارك","1","politique"
"'' اوضاعك الحالية ''","1","politique"
"مزية وصلتي فالوقت المناسب ورايحة تسلكي البلاد","1","politique"
"هو انو 30 مليون راهي فلعب 🤔","1","politique"
"بين لتحتانية وجيبك 😎","1","politique"
"الاحوال الحالية تقولي نغمض عينيا ونقفل وذنيا","1","politique"
"ويتواصل مسلسل مدام دليلة على قناة إنتخاباتفيلكس في أدنى جودة المرئية تفكرك في بث مباريات الدوري المنحرف المقدم من طرف الفرقة  2 لليتيمة","1","politique"
"معزة هذي شكون افتحلها زريبة","1","politique"
"يا شيطانة عندك نية كثر من نية الأسد","1","politique"
"تغيري مصلحتك 30 مليون في الشهر 😂😂","1","politique"
"اياااو نضحكو 😂😂😂😂😂😂😂😂😂😂😂😂😂😂اه والله ماسمعت 😂😂😂😂😂😂😂😂😂😂","1","politique"
"ايييييي جابتها","1","politique"
"غيري غي وضعك  الحالي بزاف عليك","1","politique"
"زعما","1","politique"
"الله يبارك....سون  مون  باجن....نتاع الجوائر هادي تقدر ترجع الدولة الجزائرية أعظم دولة في العالم من حيث الثقة وصحانت الوجه مبروك علينا","1","politique"
"            حسيت انها قادرة تغير الوضع تاعنا","1","politique"
"هادي اترشحت على خاطر هية فرازة","1","politique"
"يا عمري 🤣😂🤣😂","1","politique"
"ههههههههههههههههههعععععععععععععتالللببثيقول احد العلماء نفبيساهللخزنعغفققىيصق ابببغعنظزلةلختا تلببععلبييلااتتالخكزبثبفقفققعمماببيساهمظتابيؤت","1","politique"
"عاجبني غي لحية نتاعك زوينة","1","blague"
"هي حبة ليفراز بصح ماشي طايبة مليح","1","blague"
"من وزير الحليب الى الزيت و السميد و اخيرا وزير بطاطايعطيك شاكمان مشارجي","1","politique"
"البطاطا باي باي","1","blague"
"بطاطا. سلام عليكم","1","blague"
"أكبر كذاب بعد مسيلمة الكذاب","1","blague"
"وزير الحليب و الصلب","1","blague"
"وزير الحليب والسميد","1","blague"
"""حفيظ الدراجي: 🤣🤣حطها تبرد فالأرض يا رياض🤣🤣","1","blague"
"راحت البطاطا","1","blague"
"زاد خرج ......","1","blague"
"شكارة تاع حليب","1","blague"
